"index","CASE_NO","PETITIONER","RESPONDENT","DATE_OF_JUDGMENT","BENCH","JUDGMENT"
"379","Appeal (criminal) 1286 of 2024","Ajit Singh","State of Jammu and Kashmir","2024-01-22","Justice H. Agarwal, Justice S. Rao","J U D G M E N T CRIMINAL APPEAL NO. 1286 OF 2024. The appellant faced drug possession charges. The court acquitted him due to lack of material evidence."
"380","Appeal (civil) 4382 of 2024","Adani Group","Competition Commission","2024-04-18","Justice A. Kumar, Justice R. Joshi","J U D G M E N T CIVIL APPEAL NO. 4382 OF 2024. The petitioner challenged competition law violations. The court ruled in favor of Adani, finding no infringement."
"381","Appeal (criminal) 2513 of 2023","Pooja Sharma","State of Haryana","2023-07-11","Justice R. Bansal, Justice K. Agarwal","J U D G M E N T CRIMINAL APPEAL NO. 2513 OF 2023. The appellant faced charges of conspiracy to commit fraud. The court acquitted her due to insufficient evidence."
"382","Appeal (civil) 6765 of 2024","Maruti Suzuki","Automotive Standards Authority","2024-08-14","Justice H. Bansal, Justice K. Kumar","J U D G M E N T CIVIL APPEAL NO. 6765 OF 2024. The petitioner challenged safety compliance penalties. The court ruled in favor of Maruti Suzuki, finding adherence to safety standards."
"383","Appeal (criminal) 7151 of 2024","Neha Bhatt","State of Madhya Pradesh","2024-05-23","Justice P. Sharma, Justice R. Kumar","J U D G M E N T CRIMINAL APPEAL NO. 7151 OF 2024. The appellant was accused of theft. The court acquitted her, citing lack of incriminating evidence."
"384","Appeal (civil) 1943 of 2024","Hindustan Unilever","Food Safety Authority","2024-01-10","Justice A. Joshi, Justice S. Gupta","J U D G M E N T CIVIL APPEAL NO. 1943 OF 2024. The petitioner contested fines for food safety violations. The court ruled in favor of Hindustan Unilever, declaring the fines unwarranted."
"385","Appeal (criminal) 2839 of 2023","Vikram Singh","State of Rajasthan","2023-11-14","Justice R. Iyer, Justice H. Agarwal","J U D G M E N T CRIMINAL APPEAL NO. 2839 OF 2023. The appellant faced murder charges. The court acquitted him due to lack of substantial evidence linking him to the crime."
"386","Appeal (civil) 8304 of 2024","Cipla Limited","Patent Office","2024-06-19","Justice S. Rao, Justice K. Joshi","J U D G M E N T CIVIL APPEAL NO. 8304 OF 2024. The petitioner challenged a patent rejection. The court ruled in favor of Cipla, stating the invention met all patent criteria."
"387","Appeal (criminal) 9214 of 2023","Ravi Kumar","State of West Bengal","2023-08-28","Justice A. Bansal, Justice H. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 9214 OF 2023. The appellant was charged with financial fraud. The court acquitted him, noting the prosecution's case was built on assumptions."
"388","Appeal (civil) 5831 of 2024","Amazon India","Consumer Rights Commission","2024-03-22","Justice K. Agarwal, Justice R. Joshi","J U D G M E N T CIVIL APPEAL NO. 5831 OF 2024. The petitioner contested a ruling regarding customer service complaints. The court sided with Amazon, finding their processes adequate."
"389","Appeal (criminal) 4706 of 2024","Sanjay Mehta","State of Gujarat","2024-02-17","Justice H. Sharma, Justice A. Bansal","J U D G M E N T CRIMINAL APPEAL NO. 4706 OF 2024. The appellant was charged with attempted robbery. The court acquitted him, citing violations of due process during arrest."
"390","Appeal (civil) 7381 of 2024","Tata Motors","Ministry of Transport","2024-07-12","Justice P. Kumar, Justice R. Joshi","J U D G M E N T CIVIL APPEAL NO. 7381 OF 2024. The petitioner challenged regulatory penalties. The court ruled in favor of Tata Motors, finding compliance with all regulations."
"391","Appeal (criminal) 8237 of 2023","Farhan Ali","State of Telangana","2023-10-06","Justice S. Gupta, Justice H. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 8237 OF 2023. The appellant was charged with public disorder. The court acquitted him due to lack of corroborating evidence."
"392","Appeal (civil) 4450 of 2024","Reliance Jio","Telecom Regulatory Authority","2024-04-30","Justice H. Agarwal, Justice P. Sharma","J U D G M E N T CIVIL APPEAL NO. 4450 OF 2024. The petitioner contested a fine for service violations. The court ruled in favor of Reliance Jio, declaring the fine unwarranted."
"393","Appeal (criminal) 9342 of 2023","Sneha Reddy","State of Andhra Pradesh","2023-02-23","Justice K. Joshi, Justice R. Kumar","J U D G M E N T CRIMINAL APPEAL NO. 9342 OF 2023. The appellant was charged with conspiracy to commit a crime. The court acquitted her due to procedural lapses."
"394","Appeal (civil) 7992 of 2024","Ola Cabs","Transport Authority","2024-01-18","Justice R. Bansal, Justice H. Agarwal","J U D G M E N T CIVIL APPEAL NO. 7992 OF 2024. The petitioner challenged a service fee regulation. The court ruled in favor of Ola, affirming their pricing strategy."
"395","Appeal (criminal) 5321 of 2024","Kumar Nair","State of Maharashtra","2024-03-11","Justice A. Joshi, Justice S. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 5321 OF 2024. The appellant was accused of harassment. The court acquitted him due to lack of credible witnesses."
"396","Appeal (civil) 1024 of 2024","Godrej Properties","Real Estate Regulatory Authority","2024-02-25","Justice P. Mehta, Justice R. Agarwal","J U D G M E N T CIVIL APPEAL NO. 1024 OF 2024. The petitioner challenged a ruling on project delays. The court ruled in favor of Godrej, citing compliance with regulatory timelines."
"397","Appeal (criminal) 8882 of 2023","Rajesh Yadav","State of Uttar Pradesh","2023-11-12","Justice K. Sharma, Justice A. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 8882 OF 2023. The appellant faced drug possession charges. The court acquitted him, citing violations of search protocols."
"398","Appeal (civil) 3745 of 2024","Flipkart","Competition Commission of India","2024-07-05","Justice S. Agarwal, Justice P. Joshi","J U D G M E N T CIVIL APPEAL NO. 3745 OF 2024. The petitioner challenged a fine for anti-competitive practices. The court ruled in favor of Flipkart, dismissing the fine."
"399","Appeal (criminal) 2999 of 2024","Anita Singh","State of Himachal Pradesh","2024-01-30","Justice H. Sharma, Justice R. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 2999 OF 2024. The appellant was accused of fraud. The court acquitted her due to insufficient evidence."
"400","Appeal (civil) 5193 of 2024","Bharti Airtel","Telecom Disputes Settlement and Appellate Tribunal","2024-03-15","Justice A. Bansal, Justice K. Sharma","J U D G M E N T CIVIL APPEAL NO. 5193 OF 2024. The petitioner contested a service charge ruling. The court ruled in favor of Bharti Airtel, finding the charges valid."
"401","Appeal (criminal) 7728 of 2024","Meera Sharma","State of Punjab","2024-08-02","Justice R. Joshi, Justice H. Agarwal","J U D G M E N T CRIMINAL APPEAL NO. 7728 OF 2024. The appellant was charged with assault. The court acquitted her, citing lack of evidence."
"402","Appeal (civil) 3847 of 2024","Infosys Technologies","Income Tax Department","2024-04-22","Justice K. Agarwal, Justice P. Iyer","J U D G M E N T CIVIL APPEAL NO. 3847 OF 2024. The petitioner challenged a tax assessment. The court ruled in favor of Infosys, finding the assessment flawed."
"403","Appeal (criminal) 1065 of 2024","Karan Singh","State of Bihar","2024-05-10","Justice A. Kumar, Justice R. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 1065 OF 2024. The appellant was charged with theft. The court acquitted him due to lack of solid evidence."
"404","Appeal (civil) 2249 of 2024","L&T Infrastructure","Ministry of Environment","2024-06-18","Justice P. Joshi, Justice K. Iyer","J U D G M E N T CIVIL APPEAL NO. 2249 OF 2024. The petitioner contested environmental regulations on a project. The court ruled in favor of L&T, finding compliance with all regulations."
"405","Appeal (criminal) 5127 of 2023","Arvind Kumar","State of Uttarakhand","2023-10-25","Justice H. Mehta, Justice R. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 5127 OF 2023. The appellant faced bribery charges. The court acquitted him due to lack of credible evidence."
"406","Appeal (civil) 7850 of 2024","HDFC Bank","Consumer Protection Forum","2024-02-14","Justice K. Iyer, Justice R. Agarwal","J U D G M E N T CIVIL APPEAL NO. 7850 OF 2024. The petitioner challenged a consumer complaint ruling. The court ruled in favor of HDFC Bank, finding their actions justified."
"407","Appeal (criminal) 6430 of 2024","Sunita Rao","State of Kerala","2024-03-29","Justice A. Agarwal, Justice P. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 6430 OF 2024. The appellant was accused of embezzlement. The court acquitted her due to insufficient evidence."
"408","Appeal (civil) 3290 of 2024","Coca-Cola India","Health Ministry","2024-05-03","Justice R. Joshi, Justice H. Iyer","J U D G M E N T CIVIL APPEAL NO. 3290 OF 2024. The petitioner challenged health regulation fines. The court ruled in favor of Coca-Cola, finding compliance with health standards."
"409","Appeal (criminal) 7165 of 2024","Ajay Mishra","State of Chhattisgarh","2024-04-11","Justice K. Kumar, Justice H. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 7165 OF 2024. The appellant was charged with criminal conspiracy. The court acquitted him due to lack of evidence."
"410","Appeal (civil) 1028 of 2024","Wipro Limited","Software Regulatory Board","2024-05-15","Justice H. Mehta, Justice K. Sharma","J U D G M E N T CIVIL APPEAL NO. 1028 OF 2024. The petitioner contested compliance penalties imposed by the board. The court ruled in favor of Wipro, finding their compliance adequate."
"411","Appeal (criminal) 1954 of 2024","Neha Kapoor","State of Maharashtra","2024-02-20","Justice R. Agarwal, Justice A. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 1954 OF 2024. The appellant faced accusations of fraud. The court acquitted her, citing lack of substantial evidence."
"412","Appeal (civil) 4871 of 2024","State Bank of India","Financial Regulatory Authority","2024-01-18","Justice K. Sharma, Justice H. Joshi","J U D G M E N T CIVIL APPEAL NO. 4871 OF 2024. The petitioner contested a fine for compliance failures. The court ruled in favor of SBI, highlighting adherence to regulations."
"413","Appeal (criminal) 8536 of 2024","Vikram Singh","State of Rajasthan","2024-04-25","Justice A. Kumar, Justice R. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 8536 OF 2024. The appellant was accused of theft. The court acquitted him, determining that evidence was insufficient."
"414","Appeal (civil) 6783 of 2024","Maruti Suzuki","Consumer Affairs Department","2024-03-12","Justice R. Agarwal, Justice K. Joshi","J U D G M E N T CIVIL APPEAL NO. 6783 OF 2024. The petitioner challenged a fine related to product safety. The court ruled in favor of Maruti Suzuki, stating that they met all safety standards."
"415","Appeal (criminal) 4270 of 2024","Suresh Nair","State of Gujarat","2024-06-08","Justice K. Sharma, Justice H. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 4270 OF 2024. The appellant faced assault charges. The court acquitted him, emphasizing procedural errors in the arrest."
"416","Appeal (civil) 2940 of 2024","Tata Consultancy Services","Data Protection Authority","2024-07-19","Justice P. Joshi, Justice R. Iyer","J U D G M E N T CIVIL APPEAL NO. 2940 OF 2024. The petitioner contested data privacy fines. The court ruled in favor of TCS, finding compliance with data protection laws."
"417","Appeal (criminal) 8110 of 2024","Manoj Verma","State of Odisha","2024-05-22","Justice H. Agarwal, Justice K. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 8110 OF 2024. The appellant was charged with drug possession. The court acquitted him, citing procedural mishandling."
"418","Appeal (civil) 1553 of 2024","Adani Group","Environment Protection Agency","2024-08-30","Justice A. Bansal, Justice R. Sharma","J U D G M E N T CIVIL APPEAL NO. 1553 OF 2024. The petitioner challenged an environmental compliance order. The court ruled in favor of Adani, affirming compliance with regulations."
"419","Appeal (criminal) 9701 of 2024","Ravi Kumar","State of Telangana","2024-02-11","Justice R. Joshi, Justice K. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 9701 OF 2024. The appellant faced accusations of cyber fraud. The court acquitted him, highlighting weaknesses in the prosecution's case."
"420","Appeal (civil) 3214 of 2024","ICICI Bank","Reserve Bank of India","2024-06-29","Justice P. Mehta, Justice A. Agarwal","J U D G M E N T CIVIL APPEAL NO. 3214 OF 2024. The petitioner contested regulatory fines. The court ruled in favor of ICICI, asserting compliance with banking regulations."
"421","Appeal (criminal) 4563 of 2024","Shalini Gupta","State of Haryana","2024-01-03","Justice H. Iyer, Justice R. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 4563 OF 2024. The appellant was charged with fraud. The court acquitted her, pointing to a lack of evidence."
"422","Appeal (civil) 4238 of 2024","Flipkart India","Taxation Authority","2024-03-05","Justice K. Agarwal, Justice A. Bansal","J U D G M E N T CIVIL APPEAL NO. 4238 OF 2024. The petitioner contested a tax assessment. The court ruled in favor of Flipkart, citing errors in the assessment."
"423","Appeal (criminal) 5194 of 2024","Rajesh Kumar","State of Jammu and Kashmir","2024-02-28","Justice A. Joshi, Justice R. Agarwal","J U D G M E N T CRIMINAL APPEAL NO. 5194 OF 2024. The appellant was accused of attempted murder. The court acquitted him, stating that evidence was insufficient."
"424","Appeal (civil) 6402 of 2024","HDFC Life Insurance","Insurance Regulatory Authority","2024-07-10","Justice R. Bansal, Justice K. Agarwal","J U D G M E N T CIVIL APPEAL NO. 6402 OF 2024. The petitioner challenged regulatory fines related to claim processing. The court ruled in favor of HDFC, stating compliance was adequately demonstrated."
"425","Appeal (criminal) 7901 of 2024","Priya Verma","State of Himachal Pradesh","2024-05-30","Justice H. Sharma, Justice R. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 7901 OF 2024. The appellant faced accusations of embezzlement. The court acquitted her due to lack of evidence."
"426","Appeal (civil) 4173 of 2024","Infosys Technologies","Taxation Authority","2024-06-18","Justice A. Agarwal, Justice K. Sharma","J U D G M E N T CIVIL APPEAL NO. 4173 OF 2024. The petitioner contested tax assessments for the previous fiscal year. The court ruled in favor of Infosys, citing procedural irregularities."
"427","Appeal (criminal) 3548 of 2024","Ajay Singh","State of West Bengal","2024-04-12","Justice R. Iyer, Justice H. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 3548 OF 2024. The appellant was charged with robbery. The court acquitted him due to insufficient evidence."
"428","Appeal (civil) 2196 of 2024","Walmart India","Consumer Protection Authority","2024-03-29","Justice P. Joshi, Justice A. Bansal","J U D G M E N T CIVIL APPEAL NO. 2196 OF 2024. The petitioner challenged fines for alleged unfair trade practices. The court ruled in favor of Walmart, affirming fair practices were observed."
"429","Appeal (criminal) 4892 of 2024","Sita Patel","State of Karnataka","2024-01-20","Justice K. Mehta, Justice R. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 4892 OF 2024. The appellant faced charges of conspiracy. The court acquitted her, citing insufficient evidence."
"430","Appeal (civil) 3028 of 2024","Hindustan Unilever","Environmental Protection Agency","2024-08-14","Justice R. Joshi, Justice K. Agarwal","J U D G M E N T CIVIL APPEAL NO. 3028 OF 2024. The petitioner contested environmental fines. The court ruled in favor of Hindustan Unilever, confirming compliance with environmental laws."
"431","Appeal (criminal) 1764 of 2024","Tarun Mehta","State of Punjab","2024-05-05","Justice H. Agarwal, Justice R. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 1764 OF 2024. The appellant was charged with drug trafficking. The court acquitted him due to lack of concrete evidence."
"432","Appeal (civil) 9684 of 2024","Samsung Electronics","Telecommunications Regulatory Authority","2024-04-23","Justice K. Sharma, Justice P. Mehta","J U D G M E N T CIVIL APPEAL NO. 9684 OF 2024. The petitioner challenged a fine related to service quality. The court ruled in favor of Samsung, finding no violations of service standards."
"433","Appeal (criminal) 6543 of 2024","Nisha Jain","State of Delhi","2024-06-30","Justice A. Iyer, Justice R. Agarwal","J U D G M E N T CRIMINAL APPEAL NO. 6543 OF 2024. The appellant was accused of assault. The court acquitted her due to inconsistencies in witness testimonies."
"434","Appeal (civil) 8452 of 2024","Cognizant Technology Solutions","Employment Tribunal","2024-07-16","Justice R. Joshi, Justice H. Sharma","J U D G M E N T CIVIL APPEAL NO. 8452 OF 2024. The petitioner contested employment-related fines. The court ruled in favor of Cognizant, confirming compliance with employment regulations."
"435","Appeal (criminal) 5710 of 2024","Pankaj Singh","State of Maharashtra","2024-08-25","Justice K. Iyer, Justice H. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 5710 OF 2024. The appellant was charged with theft. The court acquitted him, citing lack of evidence."
"436","Appeal (civil) 1285 of 2024","Sony India","Consumer Disputes Forum","2024-01-12","Justice P. Joshi, Justice R. Mehta","J U D G M E N T CIVIL APPEAL NO. 1285 OF 2024. The petitioner challenged a consumer complaint ruling. The court ruled in favor of Sony, confirming product quality standards."
"437","Appeal (criminal) 4735 of 2024","Vinay Choudhary","State of Uttar Pradesh","2024-04-10","Justice K. Sharma, Justice H. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 4735 OF 2024. The appellant faced charges of public disturbance. The court acquitted him, emphasizing constitutional rights to free speech."
"438","Appeal (civil) 3098 of 2024","Reliance Jio","Telecom Regulatory Authority","2024-09-10","Justice R. Agarwal, Justice K. Sharma","J U D G M E N T CIVIL APPEAL NO. 3098 OF 2024. The petitioner contested regulatory penalties for service interruptions. The court ruled in favor of Reliance Jio, highlighting unforeseen circumstances."
"439","Appeal (criminal) 4821 of 2024","Ravi Kumar","State of Gujarat","2024-08-05","Justice H. Mehta, Justice P. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 4821 OF 2024. The appellant faced charges of armed robbery. The court acquitted him due to insufficient evidence and unreliable witness accounts."
"440","Appeal (civil) 6251 of 2024","Tata Steel","Environmental Protection Agency","2024-07-15","Justice R. Joshi, Justice H. Bansal","J U D G M E N T CIVIL APPEAL NO. 6251 OF 2024. The petitioner challenged environmental fines imposed for air quality violations. The court ruled in favor of Tata Steel, citing compliance with regulatory measures."
"441","Appeal (criminal) 9012 of 2024","Meena Joshi","State of Madhya Pradesh","2024-06-22","Justice K. Sharma, Justice P. Agarwal","J U D G M E N T CRIMINAL APPEAL NO. 9012 OF 2024. The appellant was charged with fraud. The court acquitted her due to lack of evidence linking her to the crime."
"442","Appeal (civil) 1187 of 2024","Amazon India","Competition Commission of India","2024-03-20","Justice R. Iyer, Justice H. Agarwal","J U D G M E N T CIVIL APPEAL NO. 1187 OF 2024. The petitioner challenged a fine imposed for anti-competitive practices. The court ruled in favor of Amazon, finding no violation."
"443","Appeal (criminal) 3789 of 2024","Sunil Sharma","State of Jammu and Kashmir","2024-02-15","Justice K. Joshi, Justice R. Bansal","J U D G M E N T CRIMINAL APPEAL NO. 3789 OF 2024. The appellant was accused of cybercrime. The court acquitted him, citing insufficient digital evidence."
"444","Appeal (civil) 7204 of 2024","Flipkart","Consumer Protection Council","2024-05-12","Justice P. Iyer, Justice H. Sharma","J U D G M E N T CIVIL APPEAL NO. 7204 OF 2024. The petitioner contested a consumer complaint regarding product quality. The court ruled in favor of Flipkart, confirming product standards."
"445","Appeal (criminal) 5823 of 2024","Aditi Kapoor","State of Rajasthan","2024-01-11","Justice H. Agarwal, Justice R. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 5823 OF 2024. The appellant was charged with conspiracy to commit theft. The court acquitted her due to insufficient evidence."
"446","Appeal (civil) 4425 of 2024","Bharat Petroleum","Central Pollution Control Board","2024-06-10","Justice R. Bansal, Justice K. Joshi","J U D G M E N T CIVIL APPEAL NO. 4425 OF 2024. The petitioner challenged a penalty for environmental violations. The court ruled in favor of Bharat Petroleum, citing compliance with safety regulations."
"447","Appeal (criminal) 6739 of 2024","Deepak Choudhary","State of Haryana","2024-07-29","Justice P. Joshi, Justice H. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 6739 OF 2024. The appellant was charged with domestic violence. The court acquitted him, emphasizing the lack of corroborative evidence."
"448","Appeal (civil) 3417 of 2024","HDFC Bank","Reserve Bank of India","2024-04-20","Justice K. Sharma, Justice R. Iyer","J U D G M E N T CIVIL APPEAL NO. 3417 OF 2024. The petitioner challenged regulatory fines related to customer service failures. The court ruled in favor of HDFC Bank, citing compliance with banking regulations."
"449","Appeal (criminal) 7906 of 2024","Nikhil Bansal","State of Bihar","2024-08-01","Justice R. Joshi, Justice K. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 7906 OF 2024. The appellant was charged with assault. The court acquitted him due to inconsistencies in witness testimonies."
"450","Appeal (civil) 1564 of 2024","Ola Cabs","Transportation Regulatory Authority","2024-02-08","Justice H. Mehta, Justice R. Sharma","J U D G M E N T CIVIL APPEAL NO. 1564 OF 2024. The petitioner contested a fine related to service operations. The court ruled in favor of Ola, affirming compliance with transportation laws."
"451","Appeal (criminal) 8823 of 2024","Sonu Prakash","State of Chhattisgarh","2024-06-14","Justice P. Iyer, Justice R. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 8823 OF 2024. The appellant faced charges of human trafficking. The court acquitted him due to lack of evidence linking him to the crime."
"452","Appeal (civil) 4803 of 2024","Infosys Technologies","Central Government","2024-05-18","Justice H. Agarwal, Justice K. Sharma","J U D G M E N T CIVIL APPEAL NO. 4803 OF 2024. The petitioner contested tax regulations imposed by the government. The court ruled in favor of Infosys, citing compliance with tax laws."
"453","Appeal (criminal) 3054 of 2024","Riya Mehta","State of Maharashtra","2024-03-29","Justice K. Joshi, Justice P. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 3054 OF 2024. The appellant was accused of drug possession. The court acquitted her, emphasizing procedural errors in the investigation."
"454","Appeal (civil) 7321 of 2024","Hindustan Unilever","Food Safety Authority","2024-06-05","Justice R. Bansal, Justice K. Agarwal","J U D G M E N T CIVIL APPEAL NO. 7321 OF 2024. The petitioner challenged a recall order for a product. The court ruled in favor of Hindustan Unilever, affirming the product's compliance with safety standards."
"455","Appeal (criminal) 2012 of 2024","Anil Kumar","State of Punjab","2024-01-15","Justice H. Mehta, Justice P. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 2012 OF 2024. The appellant faced charges of theft. The court acquitted him, citing lack of credible evidence."
"456","Appeal (civil) 1498 of 2024","Bharti Airtel","Telecom Regulatory Authority","2024-04-30","Justice R. Joshi, Justice K. Bansal","J U D G M E N T CIVIL APPEAL NO. 1498 OF 2024. The petitioner challenged service quality penalties. The court ruled in favor of Bharti Airtel, affirming adherence to service standards."
"457","Appeal (criminal) 9876 of 2024","Vinay Singh","State of Uttar Pradesh","2024-06-25","Justice K. Agarwal, Justice P. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 9876 OF 2024. The appellant was charged with assault. The court acquitted him due to inconsistencies in witness statements."
"458","Appeal (civil) 2356 of 2024","TCS","Labour Ministry","2024-05-07","Justice H. Mehta, Justice R. Agarwal","J U D G M E N T CIVIL APPEAL NO. 2356 OF 2024. The petitioner contested labor law violations. The court ruled in favor of TCS, citing compliance with labor regulations."
"459","Appeal (criminal) 6231 of 2024","Sanjay Sharma","State of Telangana","2024-03-15","Justice P. Iyer, Justice K. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 6231 OF 2024. The appellant was accused of fraud. The court acquitted him due to lack of direct evidence linking him to the crime."
"460","Appeal (civil) 9004 of 2024","Air India","Aviation Regulatory Authority","2024-01-28","Justice K. Agarwal, Justice H. Bansal","J U D G M E N T CIVIL APPEAL NO. 9004 OF 2024. The petitioner contested safety regulation fines. The court ruled in favor of Air India, affirming compliance with aviation safety standards."
"461","Appeal (criminal) 3782 of 2024","Rohit Verma","State of Jharkhand","2024-07-10","Justice R. Bansal, Justice H. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 3782 OF 2024. The appellant was charged with money laundering. The court acquitted him due to procedural irregularities in the investigation."
"462","Appeal (civil) 2450 of 2024","Cognizant","Income Tax Department","2024-08-12","Justice K. Sharma, Justice P. Agarwal","J U D G M E N T CIVIL APPEAL NO. 2450 OF 2024. The petitioner challenged tax assessments. The court ruled in favor of Cognizant, confirming tax compliance."
"463","Appeal (criminal) 3218 of 2024","Lalit Singh","State of Himachal Pradesh","2024-06-20","Justice H. Mehta, Justice R. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 3218 OF 2024. The appellant was charged with vehicular manslaughter. The court acquitted him, citing lack of evidence proving negligence."
"464","Appeal (civil) 7890 of 2024","Vodafone Idea","Telecom Regulatory Authority","2024-02-22","Justice P. Agarwal, Justice K. Iyer","J U D G M E N T CIVIL APPEAL NO. 7890 OF 2024. The petitioner contested regulatory penalties for service disruptions. The court ruled in favor of Vodafone Idea, emphasizing compliance with service guidelines."
"465","Appeal (criminal) 4572 of 2024","Geeta Sharma","State of West Bengal","2024-05-29","Justice H. Agarwal, Justice K. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 4572 OF 2024. The appellant faced charges of defamation. The court ruled in favor of Geeta, citing lack of substantial evidence."
"466","Appeal (civil) 4001 of 2024","Reliance Industries","Environment Protection Agency","2024-02-10","Justice P. Iyer, Justice R. Sharma","J U D G M E N T CIVIL APPEAL NO. 4001 OF 2024. The petitioner challenged environmental regulations imposed on oil extraction. The court ruled in favor of Reliance, confirming compliance with environmental standards."
"467","Appeal (criminal) 8956 of 2024","Amit Verma","State of Rajasthan","2024-03-01","Justice K. Agarwal, Justice H. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 8956 OF 2024. The appellant faced charges of armed robbery. The court acquitted him due to lack of credible evidence."
"468","Appeal (civil) 5771 of 2024","Maruti Suzuki","Consumer Protection Board","2024-04-16","Justice R. Bansal, Justice K. Sharma","J U D G M E N T CIVIL APPEAL NO. 5771 OF 2024. The petitioner challenged a compensation order for defective vehicles. The court ruled in favor of Maruti Suzuki, affirming product quality standards."
"469","Appeal (criminal) 2314 of 2024","Nisha Patel","State of Gujarat","2024-07-05","Justice H. Mehta, Justice P. Agarwal","J U D G M E N T CRIMINAL APPEAL NO. 2314 OF 2024. The appellant was charged with conspiracy. The court acquitted her due to lack of evidence connecting her to the alleged crime."
"470","Appeal (civil) 8110 of 2024","ICICI Bank","Reserve Bank of India","2024-06-22","Justice K. Joshi, Justice R. Iyer","J U D G M E N T CIVIL APPEAL NO. 8110 OF 2024. The petitioner contested penalties imposed for regulatory violations. The court ruled in favor of ICICI Bank, citing adherence to banking regulations."
"471","Appeal (criminal) 6624 of 2024","Rajesh Kumar","State of Haryana","2024-05-15","Justice P. Agarwal, Justice H. Bansal","J U D G M E N T CRIMINAL APPEAL NO. 6624 OF 2024. The appellant was accused of embezzlement. The court acquitted him due to insufficient evidence."
"472","Appeal (civil) 3003 of 2024","Larsen & Toubro","Construction Regulatory Authority","2024-08-18","Justice R. Joshi, Justice K. Sharma","J U D G M E N T CIVIL APPEAL NO. 3003 OF 2024. The petitioner challenged a halt order for construction projects. The court ruled in favor of L&T, confirming compliance with safety regulations."
"473","Appeal (criminal) 5005 of 2024","Suresh Rathi","State of Madhya Pradesh","2024-04-25","Justice K. Agarwal, Justice H. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 5005 OF 2024. The appellant was charged with tax evasion. The court acquitted him due to procedural errors in the investigation."
"474","Appeal (civil) 7772 of 2024","HDFC Bank","Securities and Exchange Board","2024-01-12","Justice H. Sharma, Justice P. Iyer","J U D G M E N T CIVIL APPEAL NO. 7772 OF 2024. The petitioner contested penalties for non-compliance in securities transactions. The court ruled in favor of HDFC Bank, affirming adherence to regulations."
"475","Appeal (criminal) 8311 of 2024","Simran Kaur","State of Bihar","2024-03-18","Justice K. Joshi, Justice P. Agarwal","J U D G M E N T CRIMINAL APPEAL NO. 8311 OF 2024. The appellant faced charges of harassment. The court acquitted her, emphasizing lack of evidence."
"476","Appeal (civil) 9010 of 2024","Tata Motors","Consumer Forum","2024-06-01","Justice R. Bansal, Justice H. Sharma","J U D G M E N T CIVIL APPEAL NO. 9010 OF 2024. The petitioner contested a consumer compensation order. The court ruled in favor of Tata Motors, citing product safety compliance."
"477","Appeal (criminal) 4785 of 2024","Vijay Choudhury","State of Chhattisgarh","2024-07-09","Justice P. Agarwal, Justice K. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 4785 OF 2024. The appellant was accused of theft. The court acquitted him due to inconsistencies in witness testimonies."
"478","Appeal (civil) 9990 of 2024","Wipro","Data Protection Authority","2024-02-05","Justice H. Mehta, Justice P. Agarwal","J U D G M E N T CIVIL APPEAL NO. 9990 OF 2024. The petitioner contested data breach penalties. The court ruled in favor of Wipro, confirming adherence to data protection regulations."
"479","Appeal (criminal) 1122 of 2024","Neha Singh","State of Delhi","2024-03-23","Justice R. Bansal, Justice K. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 1122 OF 2024. The appellant faced charges of fraud. The court acquitted her due to insufficient evidence."
